[0] [node-0] PingPacket { source_id: 0 }
[0] [node-1] PingPacket { source_id: 1 }
[0] [node-2] PingPacket { source_id: 2 }
[0] [node-3] PingPacket { source_id: 3 }
[0] [node-4] PingPacket { source_id: 4 }
[0] [node-5] PingPacket { source_id: 5 }
[0] [node-6] PingPacket { source_id: 6 }
[0] [node-7] PingPacket { source_id: 7 }
[0] [node-8] PingPacket { source_id: 8 }
[0] [node-9] PingPacket { source_id: 9 }
[0] [node-10] PingPacket { source_id: 10 }
[0] [node-11] PingPacket { source_id: 11 }
[0] [node-12] PingPacket { source_id: 12 }
[0] [node-13] PingPacket { source_id: 13 }
[0] [node-14] PingPacket { source_id: 14 }
[0] [node-15] PingPacket { source_id: 15 }
[0] [node-16] PingPacket { source_id: 16 }
[0] [node-17] PingPacket { source_id: 17 }
[0] [node-18] PingPacket { source_id: 18 }
[0] [node-19] PingPacket { source_id: 19 }
[10ns] [node-0] created a message destined for all nodes
[112ms 515μs 484ns] [node-8] MessageRequestPacket { source_id: 8, destination_id: 0, summary_vector: 0000000000000100000000000000000000000000000000000000000000000000 }
[112ms 515μs 604ns] [node-4] mfp from 0 to 4
[112ms 515μs 604ns] [node-4] received a message from node-0
[119ms 340μs 672ns] [node-0] sent a message to node-1
[119ms 340μs 672ns] [node-0] MessageFulfillmentPacket { source_id: 0, destination_id: 1, messages: [01110100011001010111001101110100] }
[119ms 340μs 808ns] [node-0] sent a message to node-3
[119ms 340μs 808ns] [node-0] MessageFulfillmentPacket { source_id: 0, destination_id: 3, messages: [01110100011001010111001101110100] }
[125ms 794μs 352ns] [node-7] MessageRequestPacket { source_id: 7, destination_id: 0, summary_vector: 0000000000000100000000000000000000000000000000000000000000000000 }
[125ms 797μs 708ns] [node-5] MessageRequestPacket { source_id: 5, destination_id: 0, summary_vector: 0000000000000100000000000000000000000000000000000000000000000000 }
[159ms 120μs 912ns] [node-1] mfp from 0 to 1
[159ms 120μs 912ns] [node-1] received a message from node-0
[159ms 121μs 48ns] [node-3] mfp from 0 to 3
[159ms 121μs 48ns] [node-3] received a message from node-0
[168ms 772μs 933ns] [node-6] MessageRequestPacket { source_id: 6, destination_id: 0, summary_vector: 0000000000000100000000000000000000000000000000000000000000000000 }
[168ms 773μs 70ns] [node-0] sent a message to node-2
[168ms 773μs 70ns] [node-0] MessageFulfillmentPacket { source_id: 0, destination_id: 2, messages: [01110100011001010111001101110100] }
[168ms 773μs 206ns] [node-0] sent a message to node-8
[168ms 773μs 206ns] [node-0] MessageFulfillmentPacket { source_id: 0, destination_id: 8, messages: [01110100011001010111001101110100] }
[188ms 688μs 888ns] [node-0] sent a message to node-7
[188ms 688μs 888ns] [node-0] MessageFulfillmentPacket { source_id: 0, destination_id: 7, messages: [01110100011001010111001101110100] }
[188ms 699μs 229ns] [node-0] sent a message to node-5
[188ms 699μs 229ns] [node-0] MessageFulfillmentPacket { source_id: 0, destination_id: 5, messages: [01110100011001010111001101110100] }
[225ms 30μs 776ns] [node-2] mfp from 0 to 2
[225ms 30μs 776ns] [node-2] received a message from node-0
[225ms 30μs 912ns] [node-8] mfp from 0 to 8
[225ms 30μs 912ns] [node-8] received a message from node-0
[251ms 581μs 662ns] [node-7] mfp from 0 to 7
[251ms 581μs 662ns] [node-7] received a message from node-0
[251ms 602μs 480ns] [node-5] mfp from 0 to 5
[251ms 602μs 480ns] [node-5] received a message from node-0
[253ms 159μs 447ns] [node-0] sent a message to node-6
[253ms 159μs 447ns] [node-0] MessageFulfillmentPacket { source_id: 0, destination_id: 6, messages: [01110100011001010111001101110100] }
[337ms 545μs 945ns] [node-6] mfp from 0 to 6
[337ms 545μs 945ns] [node-6] received a message from node-0
[15m] [node-0] PingPacket { source_id: 0 }
[15m] [node-1] PingPacket { source_id: 1 }
[15m] [node-2] PingPacket { source_id: 2 }
[15m] [node-3] PingPacket { source_id: 3 }
[15m] [node-4] PingPacket { source_id: 4 }
[15m] [node-5] PingPacket { source_id: 5 }
